Year,Month,Flow,FFD DESC,£000s,Tonnes
2009,2,Total Exports,"Potatoes, fresh or chilled (including seed)",6266.831,18820.126
2009,2,Total Exports,Poultry products,8126.082,2398.349
2009,2,Total Exports,Poultrymeat (inc poultry offal),19171.007,20421.698
2009,2,Total Exports,Processed fats and waxes,3771.933,6128.62
2009,2,Total Exports,Raw beet or cane sugar,7583.95,13308.506
2009,2,Total Exports,Rice,3987.88,6491.528
2009,2,Total Exports,Salmon (inc. smoked),16560.675,4276.445
2009,2,Total Exports,"Sauces, condiments, seasonings",13797.268,7213.044
2009,2,Total Exports,Sausages and related products,1347.627,523.654
2009,2,Total Exports,Shellfish,25442.858,6956.121
2009,2,Total Exports,Spices,1709.437,721.028
2009,2,Total Exports,Sugar confectionery,11274.48,3919.779
2009,2,Total Exports,Sweet biscuits,21188.326,8107.908
2009,2,Total Exports,Tea,17938.345,2759.971
2009,2,Total Exports,"Tomatoes, fresh or chilled",549.129,456.636
2009,2,Total Exports,"Tomatoes, prepared or preserved",278.706,247.913
2009,2,Total Exports,"Vegetable oils and fats, soft, crude, refined or fractionated",36764.763,51630.802
2009,2,Total Exports,"Vegetables, frozen or provisionally prepared",7696.251,9714.01
2009,2,Total Exports,Vodka,7722.156,1456.414
2009,2,Total Exports,"Wheat, unmilled",30259.906,255903.659
2009,2,Total Exports,Whisky,175363.761,43287.154
2009,2,Total Exports,Wine,21002.164,2543.288
2009,2,Total Exports,Yogurt,3162.829,1524.851
2009,2,Total Imports,"Animal oils and fats, not chemically modified",5405.58,5542.877
2009,2,Total Imports,"Apples, fresh",24133.865,30217.438
2009,2,Total Imports,"Apricots, cherries, peaches, plums and sloes (fresh)",9243.788,8558.73
2009,2,Total Imports,Bacon and ham,55898.211,24298.281
2009,2,Total Imports,Bananas,35979.861,70451.248
2009,2,Total Imports,"Barley, unmilled",716.729,5563.085
2009,2,Total Imports,Beef and veal,52040.126,17251.541
2009,2,Total Imports,Beef products (inc. corned beef),18170.954,7018.906
2009,2,Total Imports,Beer,27453.272,52289.098
